"code","old_code","col"
"NAH","NAH","dodgerblue2"
"GRB","GRB","#E31A1C"
"PORT","PORT","green4"
"HEB","HEB","#6A3D9A"
"PRJ","PRJ","#FF7F00"
"SAC","SAC","black"
"MASI","MASI","gold1"
"SAM","SAM","#FB9A99"
"L3F","L3F","#CAB2D6"
"TAYH","TH","#FDBF6F"
"POUL","POUL","gray70"
"EBAY","Ebay","khaki2"
"NRIV","NRIV","maroon"
"MELM","MELM","orchid1"
"SUM","SUM","deeppink1"
"PETI","PETITE","blue1"
"POK","POK","steelblue4"
"RIM","RIM","darkturquoise"
"SEPT","SEPT","green1"
"BUCK","BUCK","yellow4"
"JB38","CH38","yellow3"
"JB33","CH33","darkorange4"
"TSW","TSW","brown"
