Site,OffsetLong,OffsetLat,Current_SST,Current_BTEMP,Current_SSS,Current_BSAL,RCP45_SST,RCP45_BTEMP,RCP45_SSS,RCP45_BSAL,RCP85_SST,RCP85_BTEMP,RCP85_SSS,RCP85_BSAL
MASI,-64.27879991,44.38989996,7.54936847310341,6.75224707530159,30.5534016259489,30.6177776292754,8.53817211241531,7.69430246404041,30.2756894411572,30.3565477289583,9.15435154296917,8.28527589710349,30.2398131719046,30.3185532948814
SAC,-64.23597702,44.396652,7.65227659881258,6.84037856710651,30.5411289665816,30.6070173128943,8.64257960583901,7.7833857489418,30.2610567335821,30.3439090724777,9.25849098186369,8.3747817121452,30.2261465178497,30.3067604474979
L3F,-63.29393794,44.63533793,5.37612844997164,5.31985023879662,23.445018507457,30.5994340219903,7.96136953242187,6.26044780697455,30.0537480249894,30.3582616519991,8.54068058691068,6.78879122151432,30.0226274867845,30.3251800610877
SUM,-63.79396667,46.36505,4.42335265670358,8.02428542901978,14.6966108639049,26.5489733527371,9.08116707279328,9.10837425027794,25.8879098320469,25.8962737904725,9.67951954843061,9.70228410174396,25.8131626360972,25.8179358009988
POK,-64.74825,47.78465,2.33978215976758,6.37930656949816,10.2884420205321,27.9772457373564,3.9281678099246,7.2434012165514,13.0559822078811,27.5219478269897,4.40746678332908,7.72064464165101,12.8515598834574,27.3162747314445
PRJ,-64.90091692,43.65,8.25374760891909,3.80213882009121,30.5230427065299,31.756546404434,9.20406930486122,4.54654137379158,30.2581946946581,31.6334773032831,9.8053003691882,5.03090995657956,30.223839296245,31.6402935049079
SAM,-63.5879,44.4554,5.99820098046239,4.09074053779807,24.7663706111064,31.0753559323961,8.37136371136862,4.91125556038935,30.093732262775,30.876703538116,8.95530256534226,5.37255025072872,30.0576448669929,30.8491073690028
MASS,-70.92,42.42,7.38843173626043,7.80581013404402,23.8986904508926,30.7111817257404,9.42220280242567,8.81306690333339,27.0020471578357,30.4745089680743,10.0341454378539,9.43995857610464,26.9877851195542,30.5009254086981
RIM,-68.51951606,48.46687871,1.80786615688375,3.9659411106706,7.38281212079277,28.5086428130807,2.93770754572649,4.5587777015405,8.71933035347359,28.0857445984212,3.52768676258002,5.09402144611743,8.33865404329543,27.9484756856355
SEPT,-66.51546842,50.1,4.86543513480059,2.91526997107082,25.7793931202637,31.7363712604495,5.92436338726832,3.44625349596449,25.3183304087831,31.4887765450107,6.39291904218335,3.99684527165631,24.8734691311994,31.5130902419994
GreatBay,-70.5,43.073,8.87282479587334,5.55138618766916,30.6818043091181,31.9039968909548,9.89487371644099,6.76766629579603,30.405373012972,31.8282299355033,10.5332329028593,7.22575964944601,30.4189335724572,31.8292457502088
HEB,-64.96333293,43.65,8.2134243635705,4.04526414745361,30.5510948410885,31.5116426720212,9.15696140888038,4.77373693777937,30.2901515185103,31.3536284659702,9.76262332478853,5.27637437735829,30.2555637272569,31.3462963634551
PORT,-70.11,43.66833,8.13215835209251,6.68764919068103,30.8806971945753,31.1561020031481,9.12546758182907,7.6679431759188,30.6344596022418,30.9480187589151,9.74710218802762,8.26866137726541,30.6158419637788,30.935874521992
PETITE,-61.8226,47.40533,3.24834248617522,6.4305995702678,14.7106628031098,29.4382203770256,4.39804337102139,7.54573041490664,14.3345054565267,29.0422096567044,4.9972665988321,8.13139753800522,14.2621342414274,28.9688235126273
NRIV,-60.2,46.31,6.07402836739557,6.17578055314703,26.2447568402486,29.1845992102008,7.29949614590667,7.19487846613107,26.6839847723747,28.8246770468595,7.9152719555812,7.79310866212973,26.6279728595277,28.7811277162653
POUL,-61.00286,45.58269,4.33088016144729,5.98627839097884,18.5215537535924,29.895442732745,5.32517796773848,6.96468332191949,18.2110585795376,29.6134535685007,5.94524453232311,7.55569503036863,18.1738610334627,29.5830180586046
CH33,-79.1279,53.6968,3.46099146360285,3.56542257147386,17.074319487304,17.2663224323487,4.30291752215635,4.41249901625741,16.4006235439622,16.5922146935641,4.81244627828818,4.9896622826551,16.3052682753224,16.5238240363045
CH38,-78.974159,53.280838,2.83966792395072,3.85438241687417,11.2805294558468,15.0782410943079,4.58281612370702,4.74008332231796,13.9500020304985,14.3389421748979,5.05554684279445,5.26884123053457,13.8343764756836,14.2548055301149
BUCK,-53.8,48.75,4.81047989551689,4.92344243513438,30.5297170835675,31.3853095594323,5.46115517008796,5.57887176545823,30.0171912737886,30.8760226125964,5.95211525327148,6.07005825369885,29.9985170980019,30.8573807018486
MELM,-62.50152598,45.65388991,4.32565062101533,7.96673604836256,14.4122727642015,26.5109952964235,9.06054582911366,9.0664548762558,26.0500914334865,26.0741397380376,9.628625631601,9.63791132797764,26.0619189694702,26.0856614834214
TH,-62.57190789,44.82054295,4.91121558117061,5.45863680839944,21.5438944201614,30.389237307538,7.8832851584799,6.44515478832594,29.847342010508,30.1382521772822,8.47051134681985,6.99594990265032,29.8201434803593,30.1110318786629
