Site,Year,Median_temp,Mean_temp,SD_temp,Max_temp,Min_temp,ninetyp,prop5.23,meansumDTR95per
Lower Three Fathom,2017,19.865,19.89163009,2.420613924,27.407,13.57,23.112,0.890398551,2.678224194
Lower Three Fathom,2018,21.533,20.88789909,2.790312523,26.231,10.001,23.857,0.749547101,2.454060753
Lower Three Fathom,2019,21.437,20.9756187,2.7633697,26.549,13.594,24.267,0.730865036,2.572556452
Lower Three Fathom,2021,21.413,21.00344051,2.169251639,25.55,15.151,23.737,0.819972826,2.212590323
Mason's Island,2017,15.891,15.95586074,2.605347263,23.689,8.419,19.318,0.996527778,4.29603871
Mason's Island,2018,16.844,16.80072504,2.389247736,22.896,10.858,19.841,1,3.509362366
Mason's Island,2019,16.892,16.59496989,1.934813279,21.724,10.443,18.771,1,2.725504839
Mason's Island,2020,16.796,16.65630228,1.756036119,22.13,10.198,18.628,1,3.009574194
Mason's Island,2021,17.296,17.14934258,1.931031979,22.872,7.469,19.579,1,2.967603226
Port Joli,2017,19.365,19.59091003,2.958313405,31.153,11.248,23.617,0.867904589,4.876804301
Port Joli,2018,21.795,21.60264745,3.064326459,30.444,8.767,25.307,0.652475845,5.361758065
Port Joli,2019,20.46,20.17596955,3.114984562,32.201,11.005,24.05,0.816236413,4.819960753
Port Joli,2020,20.793,20.87112397,2.516170112,29.59,8.941,23.978,0.797101449,5.588298387
Port Joli,2021,20.603,20.68321906,2.738043824,32.458,6.204,24.219,0.806725543,5.289874731
Port l'Hebert,2017,18.616,18.95121111,2.840105647,34.374,7.481,22.717,0.90406099,5.082278495
Port l'Hebert,2018,21.246,21.21222764,2.995986877,29.615,7.217,24.823,0.711277174,4.893866667
Port l'Hebert,2019,20.126,19.76998947,2.692457216,27.579,9.583,23.04,0.894134964,3.020844086
Port l'Hebert,2020,21.032,20.99826916,2.37927984,28.568,7.041,23.9895,0.797894022,4.806512097
Port l'Hebert,2021,20.031,19.95042205,1.622992434,26.426,6.585,21.963,0.972259964,1.803383333
Sacrifice Island Shallow,2017,15.223,14.8684946,3.054585842,21.056,8.02,18.961,1,2.090189785
Sacrifice Island Shallow,2018,15.629,15.81071228,2.714252568,22.321,10.001,19.674,1,2.071532258
Sacrifice Island Shallow,2019,16.415,16.1197245,2.243837426,21.485,8.195,18.628,1,1.810839785
Sacrifice Island Shallow,2020,16.296,15.92262923,2.057840994,21.39,9.386,18.271,1,2.024261828
Sacrifice Island Shallow,2021,16.654,16.38747538,2.148238841,21.366,9.657,19.127,1,1.788855914
Sambro Shallow,2017,14.433,13.41262993,3.624823934,20.388,5.257,17.582,1,2.269202151
Sambro Shallow,2021,14.553,14.61334802,2.752470718,21.437,6.763,18.794,1,2.084568391
Taylor's Head Shallow,2017,16.368,15.87784429,2.752891415,21.175,6.458,19.246,1,2.7951
Taylor's Head Shallow,2018,15.748,15.4970982,3.785195151,22.848,6.763,20.15,1,3.357093011
Taylor's Head Shallow,2019,16.654,15.93146315,2.991585961,21.772,7.293,19.555,1,2.521867204
Taylor's Head Shallow,2020,15.652,15.45529356,3.135338621,20.984,4.662,19.199,0.996376812,2.711236022
Taylor's Head Shallow,2021,15.461,15.32872869,2.67051396,21.533,6.788,18.557,1,2.154617204
